Customer ID,Name,Age,Gender,Education Level,Email,Height (cm),Blood Type,Country,City,SKU,Product Name,Model,Price,IP Address
CUST-23335,Christopher Zavala,29,Female,PhD,christopher.zavala@hotmail.com,156,AB+,Zimbabwe,East Marychester,APP-IYIF-348,Across Cotton Garment,Thread Despite,582.29,77.176.80.245
CUST-73892,Mr. Curtis Parker,28,Male,Master's,mr..curtis.parker@yahoo.com,198,B+,Nicaragua,Mendezshire,HOM-NWED-549,Must Decor Item,Aura Law,215.47,106.64.160.216
CUST-81835,Matthew Williams,38,Male,PhD,matthew.williams@gmail.com,159,B-,Montenegro,South Lindsay,APP-FCMU-201,Family Cotton Garment,Thread Teacher,976.31,171.27.141.77
CUST-48295,Noah Jones,20,Female,Master's,noah.jones@gmail.com,161,AB+,Mexico,Kimberlytown,HOM-MCTH-315,Agree Decor Item,Aura Hundred,1281.05,77.187.145.102
CUST-86262,Jeffrey Nicholson,84,Male,Bachelor's,jeffrey.nicholson@hotmail.com,176,AB-,Aruba,West Davidview,HOM-GUBY-729,Foot Decor Item,Aura Move,95.08,169.100.237.39
CUST-66473,Tara Taylor,21,Female,High School,tara.taylor@gmail.com,159,AB+,Marshall Islands,Port Philipborough,APP-KAAE-751,Matter Cotton Garment,Thread Red,149.0,156.190.247.202
CUST-40896,Kimberly Jackson,76,Female,Bachelor's,kimberly.jackson@yahoo.com,193,B-,Puerto Rico,Marcstad,HOM-OIPV-793,Newspaper Decor Item,Aura Community,315.45,196.37.158.186
CUST-13502,Trevor Martin,55,Non-Binary,Master's,trevor.martin@hotmail.com,193,AB-,Mexico,Port Jeffreyshire,ELE-UDQW-481,Expect Smart Device,TechPro Conference,1315.83,108.127.119.40
CUST-43619,Lisa Williams,57,Non-Binary,High School,lisa.williams@yahoo.com,187,O+,Iraq,Christopherchester,ELE-HYCL-190,Boy Smart Device,TechPro Suddenly,1375.2,21.135.192.147
CUST-33327,Sarah Logan,78,Male,Master's,sarah.logan@yahoo.com,168,O+,Mexico,Port Grantborough,HOM-VVRG-728,Write Decor Item,Aura Line,618.08,112.41.100.73
CUST-51175,Russell Kline,82,Non-Binary,PhD,russell.kline@hotmail.com,165,A+,United States Virgin Islands,Sydneymouth,HOM-JVIJ-667,Small Decor Item,Aura Enough,1318.78,142.48.179.57
CUST-11777,Thomas Mccoy,75,Non-Binary,Master's,thomas.mccoy@yahoo.com,193,A+,Bolivia,Conniefurt,ELE-NDCN-933,Land Smart Device,TechPro Happen,1229.11,210.216.105.99
CUST-36791,Caroline Rodriguez,52,Non-Binary,PhD,caroline.rodriguez@gmail.com,185,AB+,China,Madisonside,HOM-BSAJ-864,Risk Decor Item,Aura Season,845.49,177.60.139.89
CUST-79058,Nancy Horne,31,Male,Bachelor's,nancy.horne@gmail.com,168,A+,Panama,East Rogerton,APP-RWJG-886,Decade Cotton Garment,Thread After,1124.2,85.145.249.102
CUST-92335,Shawn Collins,63,Male,High School,shawn.collins@hotmail.com,167,B+,Nepal,New Nathan,APP-BKDG-337,Now Cotton Garment,Thread Chair,1347.35,96.140.235.133
CUST-79657,Nicole Anderson,78,Non-Binary,Bachelor's,nicole.anderson@gmail.com,159,O+,Dominica,Thompsonville,ELE-RXPD-113,Identify Smart Device,TechPro Just,934.26,43.149.130.17
CUST-67920,Ronald Camacho,30,Non-Binary,High School,ronald.camacho@yahoo.com,193,A+,Anguilla,Harrisonside,ELE-UISL-440,How Smart Device,TechPro Bed,330.5,114.133.222.82
CUST-59564,Jamie Hendricks,18,Female,High School,jamie.hendricks@yahoo.com,177,O-,Micronesia,South Markville,HOM-JAPO-794,If Decor Item,Aura Nearly,613.49,186.124.33.240
CUST-16025,Stephen Valdez,46,Non-Binary,High School,stephen.valdez@hotmail.com,200,O-,Lesotho,South Danielland,ELE-LSXX-810,Cut Smart Device,TechPro In,417.17,31.161.249.202
CUST-13860,Jonathan Riley,30,Male,High School,jonathan.riley@gmail.com,184,A-,Barbados,East Brandon,APP-FJHE-272,Expert Cotton Garment,Thread Middle,521.36,124.19.112.102
CUST-74099,Edward Barton,72,Female,High School,edward.barton@gmail.com,158,A-,Nauru,East Luis,ELE-IIRS-563,Statement Smart Device,TechPro Play,682.47,220.250.101.5
CUST-93450,Lawrence Lopez,82,Male,Master's,lawrence.lopez@gmail.com,169,AB-,South Africa,Port Joshua,HOM-DMOE-635,It Decor Item,Aura Vote,946.94,116.130.181.223
CUST-28982,Thomas Brown,44,Female,PhD,thomas.brown@hotmail.com,181,O-,San Marino,Lake Candiceport,HOM-SUWG-865,Model Decor Item,Aura Type,917.63,142.169.237.236
CUST-16268,Jessica Weaver,39,Female,High School,jessica.weaver@hotmail.com,161,O+,Gabon,East Jerry,HOM-BMYN-414,Show Decor Item,Aura Eye,43.22,192.59.41.114
CUST-83675,Jennifer Lang,64,Non-Binary,High School,jennifer.lang@gmail.com,198,O+,Marshall Islands,New Lucasfort,APP-KLWY-232,Collection Cotton Garment,Thread Born,384.56,149.237.112.18
CUST-46566,Laurie Harrison,63,Non-Binary,PhD,laurie.harrison@hotmail.com,169,AB+,Yemen,New Jeffreyborough,APP-DHOH-955,All Cotton Garment,Thread Blue,308.21,13.131.85.226
CUST-19566,Tracey Tucker,36,Female,Master's,tracey.tucker@yahoo.com,195,B-,Japan,Raychester,HOM-DSKV-642,Note Decor Item,Aura Laugh,12.01,87.61.162.192
CUST-59758,Chad Lee,22,Non-Binary,Bachelor's,chad.lee@hotmail.com,197,B+,Taiwan,Allenchester,APP-SSWK-738,View Cotton Garment,Thread Poor,1059.32,194.18.33.128
CUST-67012,Mark Liu,48,Female,PhD,mark.liu@hotmail.com,165,O-,Brunei Darussalam,South Danielle,APP-LYPS-210,Firm Cotton Garment,Thread Idea,1288.31,74.77.113.87
CUST-59779,Bill James,66,Male,Bachelor's,bill.james@yahoo.com,157,A+,Guadeloupe,Harrisborough,HOM-EVJI-656,Those Decor Item,Aura Both,1424.4,129.51.174.26
CUST-64459,Marcus Ayers,33,Female,PhD,marcus.ayers@yahoo.com,163,O+,Kiribati,Traceyville,APP-NHVE-467,Though Cotton Garment,Thread Plan,570.08,134.197.139.230
CUST-57368,Laurie Matthews,44,Non-Binary,Master's,laurie.matthews@yahoo.com,181,A+,Singapore,Seanfurt,ELE-VJJB-626,Ever Smart Device,TechPro Call,467.33,153.194.103.224
CUST-25735,Michelle Rhodes,77,Non-Binary,Master's,michelle.rhodes@hotmail.com,173,B+,Uzbekistan,South Brittany,HOM-OYAB-558,Break Decor Item,Aura Read,883.72,159.193.11.226
CUST-31554,Justin Cook,61,Non-Binary,Bachelor's,justin.cook@yahoo.com,150,A+,Indonesia,Port Mark,ELE-WSIZ-943,Shake Smart Device,TechPro On,559.13,212.181.67.241
CUST-71581,Teresa Vasquez,44,Female,Master's,teresa.vasquez@hotmail.com,154,B+,Myanmar,Kimberlyburgh,ELE-WGQH-931,Newspaper Smart Device,TechPro Congress,413.57,148.146.37.156
CUST-25520,Karl Morgan,68,Non-Binary,PhD,karl.morgan@hotmail.com,180,O-,Germany,Patrickstad,ELE-LNPA-472,Factor Smart Device,TechPro Official,932.11,53.243.41.61
CUST-31642,Troy Cunningham,71,Female,Master's,troy.cunningham@yahoo.com,181,AB+,Equatorial Guinea,Lake Timothytown,ELE-ALQK-853,Wall Smart Device,TechPro Ask,86.54,115.59.234.141
CUST-70312,Jane Roberts PhD,57,Female,High School,jane.roberts.phd@hotmail.com,151,O-,Zimbabwe,Rogersport,HOM-DVHQ-706,Worker Decor Item,Aura Phone,1389.97,60.232.100.94
CUST-38537,Michael Medina,77,Male,High School,michael.medina@hotmail.com,199,A+,Saint Pierre and Miquelon,Nicholasstad,APP-BOGZ-163,Gas Cotton Garment,Thread Book,410.25,104.147.251.11
CUST-94529,Ricky Andersen,51,Female,Bachelor's,ricky.andersen@hotmail.com,193,A+,Svalbard & Jan Mayen Islands,Stephenville,APP-RHAT-433,Indeed Cotton Garment,Thread Keep,970.2,156.69.6.72
CUST-64011,Terry Liu,32,Female,Master's,terry.liu@hotmail.com,197,A-,United States Minor Outlying Islands,Codyhaven,APP-RRDP-718,Whose Cotton Garment,Thread Specific,26.11,188.101.41.12
CUST-22199,Benjamin Vasquez,72,Female,Master's,benjamin.vasquez@hotmail.com,161,A+,Panama,West Melanieside,ELE-DSVW-405,Word Smart Device,TechPro Language,1236.99,16.150.121.111
CUST-83549,Jessica Brown,24,Male,Bachelor's,jessica.brown@hotmail.com,188,A+,Brunei Darussalam,Port Stephanieberg,HOM-LRLS-589,Should Decor Item,Aura One,1061.4,100.133.156.28
CUST-57165,Ryan Brown,65,Non-Binary,High School,ryan.brown@yahoo.com,196,A-,Cyprus,South Laurafort,ELE-KTCR-794,Sister Smart Device,TechPro Newspaper,221.04,156.118.53.74
CUST-34909,Heather Copeland,27,Female,Bachelor's,heather.copeland@hotmail.com,177,O-,Venezuela,Charleston,ELE-FZRU-298,Star Smart Device,TechPro Seem,1061.0,143.140.30.153
CUST-60384,Kristina Jones,83,Non-Binary,Master's,kristina.jones@gmail.com,189,A-,Azerbaijan,Andreafort,APP-BFZB-113,Remember Cotton Garment,Thread Section,1254.37,200.254.136.168
CUST-59212,Rebecca Salazar,32,Female,PhD,rebecca.salazar@hotmail.com,198,B-,Germany,Mooreburgh,HOM-XQSU-792,Figure Decor Item,Aura Event,188.74,189.201.122.111
CUST-34371,John Ramirez,36,Male,Bachelor's,john.ramirez@hotmail.com,165,O-,Kazakhstan,Port Theresamouth,ELE-VOOW-226,Catch Smart Device,TechPro Raise,375.63,64.76.140.131
CUST-82851,Brandi Chavez,81,Non-Binary,Master's,brandi.chavez@yahoo.com,199,B+,Uruguay,Kentport,ELE-ARTK-793,Study Smart Device,TechPro But,96.96,209.85.157.102
CUST-58076,Abigail Estes,58,Non-Binary,Master's,abigail.estes@yahoo.com,166,B-,Liechtenstein,Lake Elizabeth,ELE-SIHZ-170,What Smart Device,TechPro Three,215.63,91.200.105.108
CUST-98103,Terry Anderson,78,Male,Bachelor's,terry.anderson@gmail.com,150,B+,United Kingdom,Wilsonstad,ELE-ODKO-997,Especially Smart Device,TechPro Money,338.4,150.31.161.235
CUST-26927,Jeffrey Garrison,78,Non-Binary,High School,jeffrey.garrison@yahoo.com,183,O+,Bermuda,Maddoxburgh,ELE-EYHW-807,Hit Smart Device,TechPro They,565.17,47.73.254.89
CUST-91795,Stefanie Wright,54,Non-Binary,Master's,stefanie.wright@gmail.com,195,A-,Philippines,Cliffordchester,HOM-PVDR-873,Popular Decor Item,Aura Boy,928.95,139.42.95.175
CUST-30850,Ruben Krause,61,Female,PhD,ruben.krause@yahoo.com,169,AB-,Tuvalu,North Williamfurt,APP-QYKN-229,Himself Cotton Garment,Thread Learn,489.06,180.234.99.202
CUST-50028,Katie Hanson,19,Non-Binary,PhD,katie.hanson@yahoo.com,164,AB+,Tunisia,Lake Mauriceland,APP-IRFD-290,Difficult Cotton Garment,Thread Year,183.64,97.16.189.137
CUST-18567,Allen Mendez,71,Female,Master's,allen.mendez@gmail.com,194,O-,South Africa,North Jeff,APP-FLDL-215,Wife Cotton Garment,Thread Get,971.35,138.70.228.104
CUST-50330,Kim Miller DDS,74,Male,Master's,kim.miller.dds@yahoo.com,166,B-,Vanuatu,East Johnland,ELE-IVVJ-535,Consider Smart Device,TechPro Present,561.33,49.255.188.117
CUST-11336,Tammy Thompson,47,Non-Binary,High School,tammy.thompson@hotmail.com,186,O-,Germany,Christinamouth,HOM-IFUL-424,Walk Decor Item,Aura Artist,1401.48,20.187.171.217
CUST-88598,Karen Bauer,55,Female,High School,karen.bauer@hotmail.com,150,AB-,Russian Federation,Carolbury,ELE-CYLZ-810,Fact Smart Device,TechPro How,722.78,109.223.5.233
CUST-71871,Justin Crawford,63,Non-Binary,PhD,justin.crawford@gmail.com,195,B+,United Kingdom,Deanstad,APP-OGIQ-477,Itself Cotton Garment,Thread Common,977.45,186.16.187.154
